texto_reclamacao,categoria,empresa,estado,valor_envolvido,tempo_resposta_dias
Valor diferente do acordado,Cobrança Indevida,EletroMax,GO,307.36,2.4
Cobrança duplicada no cartão,Cobrança Indevida,MegaStore,GO,180.18,2.3
Cobrança após cancelamento do serviço,Cobrança Indevida,SuperCompras,GO,419.57,2.9
Não recebi o produto comprado,Entrega,EletroMax,SP,264.27,4.1
Produto não foi entregue no prazo,Entrega,TechMart,CE,65.93,6.8
Cobrança duplicada no cartão,Cobrança Indevida,FastDelivery,BA,491.95,5.2
Produto não corresponde à descrição,Produto Defeituoso,EletroMax,PE,176.85,14.3
Entrega foi feita no endereço errado,Entrega,SuperCompras,PE,42.29,2.4
Não recebi o produto comprado,Entrega,FastDelivery,GO,56.48,6.5
Entrega foi feita no endereço errado,Entrega,FastDelivery,RJ,357.37,2.2
Entregador foi mal educado,Entrega,SuperCompras,CE,376.31,3.4
Não recebi o produto comprado,Entrega,TechMart,GO,680.29,5.5
Cobrança após cancelamento do serviço,Cobrança Indevida,SuperCompras,PE,154.85,5.9
Produto veio danificado na entrega,Produto Defeituoso,EletroMax,SP,80.49,6.9
Defeito na tela do celular,Produto Defeituoso,MegaStore,MG,1428.37,11.2
Produto não corresponde à descrição,Produto Defeituoso,EletroMax,CE,749.01,2.6
Cobraram valor a mais na fatura,Cobrança Indevida,FastDelivery,RJ,65.8,4.3
Fui mal atendido na loja física,Atendimento,MegaStore,GO,27.47,11.7
Cobrança após cancelamento do serviço,Cobrança Indevida,MegaStore,SP,366.43,3.1
Não consegui resolver meu problema,Atendimento,TechMart,CE,2.54,3.0
Cobraram valor a mais na fatura,Cobrança Indevida,FastDelivery,RS,455.63,3.2
Produto não corresponde à descrição,Produto Defeituoso,EletroMax,RS,1888.56,9.4
Valor diferente do acordado,Cobrança Indevida,SuperCompras,CE,407.9,6.7
Atendente não soube me informar,Atendimento,FastDelivery,RS,89.26,11.2
Atendente não soube me informar,Atendimento,TechMart,BA,90.68,6.2
Cobraram valor a mais na fatura,Cobrança Indevida,FastDelivery,PE,166.3,2.5
Cobraram valor a mais na fatura,Cobrança Indevida,EletroMax,SP,77.54,4.0
Cobrança duplicada no cartão,Cobrança Indevida,TechMart,RS,194.54,9.7
Não recebi o produto comprado,Entrega,SuperCompras,MG,261.68,2.7
Produto não corresponde à descrição,Produto Defeituoso,TechMart,RJ,1030.22,1.7
Produto chegou com defeito de fábrica,Produto Defeituoso,TechMart,MG,1377.38,8.4
Atendente não soube me informar,Atendimento,MegaStore,GO,23.76,14.8
Entregador foi mal educado,Entrega,FastDelivery,RJ,517.82,4.2
Produto não foi entregue no prazo,Entrega,TechMart,SC,565.78,6.2
Produto chegou muito atrasado,Entrega,FastDelivery,MG,577.59,5.9
Não recebi o produto comprado,Entrega,TechMart,SP,336.13,4.1
Produto não foi entregue no prazo,Entrega,MegaStore,PE,117.37,6.5
Funcionário foi grosseiro e mal educado,Atendimento,MegaStore,BA,66.0,16.5
Defeito na tela do celular,Produto Defeituoso,FastDelivery,SP,521.61,2.3
Entregador foi mal educado,Entrega,EletroMax,BA,291.05,3.1
Produto chegou muito atrasado,Entrega,FastDelivery,GO,341.47,6.3
Produto chegou muito atrasado,Entrega,TechMart,GO,634.71,5.0
Não consegui resolver meu problema,Atendimento,TechMart,MG,97.37,6.4
Funcionário foi grosseiro e mal educado,Atendimento,SuperCompras,SC,44.84,19.9
Produto não foi entregue no prazo,Entrega,FastDelivery,SP,410.3,2.1
Produto chegou muito atrasado,Entrega,TechMart,SP,447.76,4.1
Fui mal atendido na loja física,Atendimento,MegaStore,SC,90.61,9.3
Produto chegou com defeito de fábrica,Produto Defeituoso,FastDelivery,SP,430.72,11.1
Valor diferente do acordado,Cobrança Indevida,MegaStore,SP,40.93,10.0
Fui mal atendido na loja física,Atendimento,EletroMax,SC,37.02,1.3
Entregador foi mal educado,Entrega,TechMart,PR,470.67,6.9
Entregador foi mal educado,Entrega,EletroMax,BA,236.73,3.9
Atendimento muito demorado no telefone,Atendimento,SuperCompras,SC,69.6,11.8
Entrega foi feita no endereço errado,Entrega,SuperCompras,CE,705.58,5.4
Produto chegou com defeito de fábrica,Produto Defeituoso,MegaStore,SC,751.01,5.1
Taxa não informada na contratação,Cobrança Indevida,MegaStore,RJ,436.19,9.2
Atendimento muito demorado no telefone,Atendimento,FastDelivery,RS,65.0,14.3
